اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
The Witch's House,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Misao,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
FIFA 23,Intel Core i5 6600K / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 570,100 GB,Windows 10 64-bit,Intel Core i7 6700 / AMD Ryzen 7 2700X,12 GB,NVIDIA GTX 1660 / AMD Radeon RX 5600 XT,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 22,Intel Core i3-6100 @ 3.7GHz / AMD Athlon X4 880K @4GHz,8 GB,NVIDIA GTX 660 2GB / AMD Radeon HD 7850 2GB,50 GB,Windows 10 64-bit,Intel i3-6300T @ 3.3GHz / AMD Athlon X4 870K @ 3.9 GHz,12 GB,NVIDIA GeForce GTX 670 / AMD Radeon R9 270X,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 21,Intel Core i3-6100 @ 3.7GHz / AMD Athlon X4 880K @4GHz,8 GB,NVIDIA GTX 660 2GB / AMD Radeon HD 7850 2GB,50 GB,Windows 10 64-bit,Intel i3-6300T @ 3.3GHz / AMD Athlon X4 870K @ 3.9 GHz,12 GB,NVIDIA GeForce GTX 670 / AMD Radeon R9 270X,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 20,Core i3-2100 / Phenom II X4 965,8 GB,Radeon HD 7850 / GeForce GTX 660,50 GB,Windows 7/8.1/10 64-bit,Core i3-6300T / Athlon X4 870K,8 GB,Radeon R9 270X / GeForce GTX 670,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 19,Core i3-2100 / Phenom II X4 965,8 GB,Radeon HD 7850 / GeForce GTX 660,50 GB,Windows 7/8.1/10 64-bit,Core i3-6300T / Athlon X4 870K,8 GB,Radeon R9 270X / GeForce GTX 670,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 18,Intel Core i3-2100 @ 3.1GHz / AMD Phenom II X4 965 @ 3.4 GHz,8 GB,NVIDIA GTX 460 / AMD Radeon R7 260,30 GB,Windows 7/8.1/10 64-bit,Intel Core i3-6300T @ 3.3GHz / AMD Athlon X4 870K @ 3.9 GHz,8 GB,NVIDIA GeForce GTX 670 / AMD Radeon R9 270X,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 17,Intel Core i3-2100 @ 3.1GHz / AMD Phenom II X4 965 @ 3.4 GHz,8 GB,NVIDIA GTX 460 / AMD Radeon R7 260,30 GB,Windows 7/8.1/10 64-bit,Intel Core i3-6300T @ 3.3GHz / AMD Athlon X4 870K @ 3.9 GHz,8 GB,NVIDIA GeForce GTX 670 / AMD Radeon R9 270X,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 16,Intel Core i3-2100 @ 3.1GHz / AMD Phenom II X4 965 @ 3.4 GHz,4 GB,NVIDIA GTX 460 / AMD Radeon R7 260,15 GB,Windows 7/8/8.1 64-bit,Intel Core i3-6300T @ 3.3GHz / AMD Athlon X4 870K @ 3.9 GHz,8 GB,NVIDIA GeForce GTX 670 / AMD Radeon R9 270X,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 15,Intel Core 2 Quad Q6600 2.4 GHz / AMD Phenom II X4 965 3.4 GHz,4 GB,NVIDIA GTX 460 / AMD Radeon R7 260,15 GB,Windows V/7/8/8.1 64-bit,Intel Core i5-2550K 3.4 GHz / AMD FX-6300 3.5 GHz,8 GB,NVIDIA GeForce GTX 670 / AMD Radeon R9 270X,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 14,Intel Core 2 Duo 1.8 GHz / AMD Athlon II X2 240 2.8 GHz,2 GB,ATI Radeon HD 3600 / NVIDIA GeForce 6800GT,8 GB,Windows V/7/8,Intel Core 2 Quad Q6600 2.4 GHz / AMD Phenom II X4 965 3.4 GHz,4 GB,ATI Radeon HD 6000 / NVIDIA GeForce 500 series,8 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
EA Sports FC 24,Intel Core i5-6600K / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 570,100 GB,Windows 10 64-bit,Intel Core i7 6700 / AMD Ryzen 7 2700X,12 GB,NVIDIA GTX 1660 / AMD Radeon RX 5600 XT,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
EA Sports FC 25,Intel Core i5-8400 / AMD Ryzen 5 2600,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,100 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 6700 XT,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
eFootball 2024,Intel Core i5-7600 / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB,Windows 10 64-bit,Intel Core i7-9700 / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
eFootball 2023,Intel Core i5-7600 / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB,Windows 10 64-bit,Intel Core i7-9700 / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
eFootball 2022,Intel Core i5-7600 / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB,Windows 10 64-bit,Intel Core i7-9700 / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Pro Evolution Soccer 2021,Intel Core i5-3470 / AMD FX-4350,4 GB,NVIDIA GTX 670 / AMD Radeon HD 7870,40 GB,Windows 7/8.1/10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 760 / AMD Radeon R9 270X,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Pro Evolution Soccer 2020,Intel Core i5-3470 / AMD FX-4350,4 GB,NVIDIA GTX 670 / AMD Radeon HD 7870,40 GB,Windows 7/8.1/10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 760 / AMD Radeon R9 270X,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Pro Evolution Soccer 2019,Intel Core i5-3450 / AMD FX-4100,4 GB,NVIDIA GTX 670 / AMD Radeon HD 7870,30 GB,Windows 7/8.1/10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 760 / AMD Radeon R9 270X,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NBA 2K24,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 770 / AMD Radeon R9 270,110 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,110 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NBA 2K23,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 770 / AMD Radeon R9 270,110 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,110 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NBA 2K22,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 770 / AMD Radeon R9 270,110 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,110 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NBA 2K21,Intel Core i3-530 / AMD FX-4100,4 GB,NVIDIA GTX 770 / AMD Radeon R9 270,80 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 770 / AMD Radeon R9 270,80 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NBA 2K20,Intel Core i3-530 / AMD FX-4100,4 GB,NVIDIA GTX 770 / AMD Radeon R9 270,80 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 770 / AMD Radeon R9 270,80 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NBA 2K Playgrounds 2,Intel Core i3-530 / AMD FX-4100,4 GB,NVIDIA GTX 650 / AMD Radeon HD 7750,6 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 770 / AMD Radeon R9 270,6 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NBA Playgrounds,Intel Core i3-530 / AMD FX-4100,4 GB,NVIDIA GTX 650 / AMD Radeon HD 7750,6 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 770 / AMD Radeon R9 270,6 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Madden NFL 24,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 670 / AMD Radeon R9 270,50 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Madden NFL 23,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 670 / AMD Radeon R9 270,50 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Madden NFL 22,Intel Core i3-4350 / AMD FX-4350,8 GB,NVIDIA GTX 660 / AMD Radeon R9 270,48 GB,Windows 10 64-bit,Intel Core i5-4690 / AMD FX-8350,12 GB,NVIDIA GTX 970 / AMD Radeon R9 390,48 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Madden NFL 21,Intel Core i3-4350 / AMD FX-4350,8 GB,NVIDIA GTX 660 / AMD Radeon R9 270,48 GB,Windows 10 64-bit,Intel Core i5-4690 / AMD FX-8350,12 GB,NVIDIA GTX 970 / AMD Radeon R9 390,48 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Madden NFL 20,Intel Core i3-4350 / AMD FX-4350,8 GB,NVIDIA GTX 660 / AMD Radeon R9 270,48 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4690 / AMD FX-8350,12 GB,NVIDIA GTX 970 / AMD Radeon R9 390,48 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NHL 24,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 670 / AMD Radeon R9 270,50 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NHL 23,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 670 / AMD Radeon R9 270,50 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
NHL 22,Intel Core i3-4350 / AMD FX-4350,8 GB,NVIDIA GTX 660 / AMD Radeon R9 270,48 GB,Windows 10 64-bit,Intel Core i5-4690 / AMD FX-8350,12 GB,NVIDIA GTX 970 / AMD Radeon R9 390,48 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
MLB The Show 24,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 670 / AMD Radeon R9 270,50 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
MLB The Show 23,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 670 / AMD Radeon R9 270,50 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
MLB The Show 22,Intel Core i3-4350 / AMD FX-4350,8 GB,NVIDIA GTX 660 / AMD Radeon R9 270,48 GB,Windows 10 64-bit,Intel Core i5-4690 / AMD FX-8350,12 GB,NVIDIA GTX 970 / AMD Radeon R9 390,48 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Tony Hawk's Pro Skater 1 + 2,Intel Core i5-4430 / AMD FX-8370,8 GB,NVIDIA GTX 670 / AMD Radeon R9 270,20 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD FX-9590,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Riders Republic,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,20 GB,Windows 10 64-bit,Intel Core i7-4790 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Steep,Intel Core i5 2400s @ 2.5 GHz / AMD FX-6350 @ 3.9 GHz,6 GB,GeForce GTX 660 / Radeon R7 260X,25 GB,Windows 7 SP1/8.1/10 64-bit,Intel Core i7 3770K @ 3.5 GHz / AMD FX-8350 @ 4.0 GHz,8 GB,GeForce GTX 970 / Radeon R9 390,25 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Trials Rising,Intel Core i3-550 / AMD Phenom II X4 945,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5770,14 GB,Windows 7/8/10 64-bit,Intel Core i5-2400 / AMD FX-4100,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 270X,14 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Trials Fusion,Intel Core i3-550 / AMD Phenom II X4 945,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5770,8 GB,Windows 7 SP1/8/8.1/10 64-bit,Intel Core i5-2400 / AMD FX-4100,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 270X,8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Trackmania Turbo,Intel Core i3-550 / AMD Phenom II X4 945,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5770,4 GB,Windows 7/8/10 64-bit,Intel Core i5-2400 / AMD FX-4100,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 270X,4 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Trackmania 2: Canyon,Intel Core 2 Duo / AMD Athlon X2,2 GB,NVIDIA GeForce 8800 / ATI Radeon HD 4850,2 GB,Windows XP/Vista/7/8,Intel Core i3 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5770,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Trackmania Nations Forever,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,16 MB video card with DirectX 9.0c support,1 GB,Windows 2000/XP/Vista/7,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,32 MB video card with DirectX 9.0c support,1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
WWE 2K24,Intel Core i5-3550 / AMD FX 8150,4 GB,NVIDIA GTX 680 / AMD Radeon HD 7970,60 GB,Windows 10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
WWE 2K23,Intel Core i5-3550 / AMD FX 8150,4 GB,NVIDIA GTX 680 / AMD Radeon HD 7970,60 GB,Windows 10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
WWE 2K22,Intel Core i5-3550 / AMD FX 8150,4 GB,NVIDIA GTX 680 / AMD Radeon HD 7970,60 GB,Windows 10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
WWE 2K Battlegrounds,Intel Core i3-540 / AMD Phenom II X4 945,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5770,10 GB,Windows 7/8/10 64-bit,Intel Core i5-2400 / AMD FX-4100,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 270X,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
AEW: Fight Forever,Intel Core i5-3550 / AMD FX 8150,4 GB,NVIDIA GTX 680 / AMD Radeon HD 7970,30 GB,Windows 10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
UFC 5,Intel Core i5-6600K / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 5700,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
UFC 4,Intel Core i5-6600K / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 5700,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
UFC 3,Intel Core i5-3550 / AMD FX 8150,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,30 GB,Windows 7/8.1/10 64-bit,Intel Core i7-3770 / AMD FX-8350,16 GB,NVIDIA GTX 970 / AMD Radeon R9 390,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Fight Night Champion,Intel Core i5-3550 / AMD FX 8150,4 GB,NVIDIA GTX 460 / AMD Radeon HD 6850,10 GB,Windows 7/8.1/10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
EA Sports UFC 2,Intel Core i5-3550 / AMD FX 8150,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,15 GB,Windows 7/8.1/10 64-bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Boxing Star,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,5 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4460 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Real Boxing 2,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,5 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4460 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Real Boxing,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,3 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4460 / AMD FX-8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 390,3 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Creed: Rise to Glory,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,10 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Thrill of the Fight,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,5 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Drunkn Bar Fight,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,3 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,3 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Gorn,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,5 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Blade and Sorcery,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,10 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Until You Fall,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,5 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Swords of Gurrah,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,5 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Sparc,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,5 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Echo VR,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,10 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Lone Echo,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,15 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Lone Echo II,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,20 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Stormland,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,15 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Asgard's Wrath,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1080 / AMD Radeon RX Vega 64,50 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 7 2700X,32 GB,NVIDIA RTX 2080 / AMD Radeon RX 6800,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Asgard's Wrath 2,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 5700,80 GB,Windows 10 64-bit,Intel Core i7-12700K / AMD Ryzen 7 5800X,32 GB,NVIDIA RTX 3070 / AMD Radeon RX 6800 XT,80 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Medal of Honor: Above and Beyond,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1080 / AMD Radeon RX Vega 64,50 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 7 2700X,32 GB,NVIDIA RTX 2080 / AMD Radeon RX 6800,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Population: One,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,10 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Contractors,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,10 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Onward,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,10 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Pavlov VR,Intel Core i5-4590 / AMD FX 8350,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,15 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
